"resource_id","resource_type","quantity","unit","zone_id"
"R001","Food Packets",15000,"Units","Z001"
"R002","Medical Kits",400,"Kits","Z001"
"R003","Tents",300,"Units","Z001"
"R004","Water Bottles",20000,"Liters","Z002"
"R005","Blankets",5000,"Units","Z002"
"R006","Hygiene Kits",2000,"Kits","Z002"
"R007","First Aid Kits",500,"Kits","Z003"
"R008","Tarpaulins",800,"Units","Z003"
"R009","Rice Bags",10000,"Kg","Z004"
"R010","Water Purifiers",200,"Units","Z004"
"R011","Clothing Sets",4000,"Units","Z004"
"R012","Solar Lanterns",300,"Units","Z005"
"R013","Canned Food",8000,"Cans","Z006"
"R014","Medicines",1000,"Boxes","Z006"
"R015","Sleeping Mats",3000,"Units","Z007"
"R016","Food Packets",12000,"Units","Z008"
"R017","Medical Kits",350,"Kits","Z009"
"R018","Tents",400,"Units","Z010"
"R019","Water Bottles",18000,"Liters","Z011"
"R020","Blankets",6000,"Units","Z012"
"R021","Hygiene Kits",1500,"Kits","Z013"
"R022","First Aid Kits",600,"Kits","Z014"
"R023","Tarpaulins",1000,"Units","Z015"
"R024","Rice Bags",9000,"Kg","Z016"
"R025","Water Purifiers",250,"Units","Z017"
"R026","Clothing Sets",3500,"Units","Z018"
"R027","Solar Lanterns",400,"Units","Z019"
"R028","Canned Food",7000,"Cans","Z020"
"R029","Medicines",1200,"Boxes","Z021"
"R030","Sleeping Mats",2500,"Units","Z022"
"R031","Food Packets",10000,"Units","Z001"
"R032","Water Bottles",15000,"Liters","Z002"
"R033","Tents",250,"Units","Z003"
"R034","Medical Kits",300,"Kits","Z004"
"R035","Blankets",4000,"Units","Z005"
"R036","Hygiene Kits",1800,"Kits","Z006"
"R037","First Aid Kits",450,"Kits","Z007"
"R038","Tarpaulins",900,"Units","Z008"
"R039","Rice Bags",8000,"Kg","Z009"
"R040","Water Purifiers",300,"Units","Z010"
"R041","Clothing Sets",5000,"Units","Z011"
"R042","Solar Lanterns",350,"Units","Z012"
"R043","Canned Food",9000,"Cans","Z013"
"R044","Medicines",1100,"Boxes","Z014"
"R045","Sleeping Mats",2000,"Units","Z015"
"R046","Food Packets",11000,"Units","Z016"
"R047","Water Bottles",17000,"Liters","Z017"
"R048","Tents",350,"Units","Z018"
"R049","Medical Kits",400,"Kits","Z019"
"R050","Blankets",5500,"Units","Z020"
"R051","Food Packets",14000,"Units","Z021"
"R052","Water Bottles",16000,"Liters","Z022"
"R053","Tents",200,"Units","Z023"
"R054","Medical Kits",250,"Kits","Z024"
"R055","Blankets",3000,"Units","Z025"
"R056","Hygiene Kits",1200,"Kits","Z026"
"R057","First Aid Kits",400,"Kits","Z027"
"R058","Tarpaulins",700,"Units","Z028"
