"agency_name","zone_name","times_deployed"
"NDMA India","Malabar Coast","6"
"NDMA India","Brahmaputra Valley","4"
"NDMA India","Gangetic Plains","3"
"NDMA India","Konkan Belt","3"
"Save the Children","Rayalaseema","2"
"SEEDS India","Bundelkhand","2"
"World Vision India","Coastal Karnataka","2"
"NDRF","South Kerala","2"
"Save the Children","Marathwada","2"
"NDMA India","Sundarbans","2"
"World Vision India","Lower Assam","2"
"NDMA India","Godavari Delta","2"
"NDMA India","Vidarbha","2"
"NDMA India","Saurashtra","2"
"ActionAid India","Terai Region","2"
"Habitat for Humanity","North Chhattisgarh","1"
"Rapid Response","Kumaon Region","1"
"CARE India","South Sikkim","1"
"CARE India","Chota Nagpur","1"
"Save the Children","Malwa Plateau","1"
"CARE India","Nilgiri Hills","1"
"Oxfam India","Thar Desert","1"
"Oxfam India","Andaman Coast","1"
"NDMA India","Thar Desert","1"
"Caritas India","Bihar Plains","1"
"NDRF","North Karnataka","1"
"Plan India","Nagaland Hills","1"
"Caritas India","South Assam","1"
"Sphere India","Himalayan Foothills","1"
"Indian Red Cross","South Kerala","1"
"Pradan","South Sikkim","1"
"NDRF","South Himachal","1"
"Rapid Response","South Assam","1"
"Caritas India","South Odisha","1"
"Caritas India","Bastar Region","1"
"Habitat for Humanity","Lower Assam","1"
"World Vision India","Central Kerala","1"
"NDRF","Central Odisha","1"
"SEEDS India","Coromandel Coast","1"
"UNICEF India","Malabar Coast","1"
"NDRF","Marathwada","1"
"SEEDS India","South Jharkhand","1"
"UNICEF India","East Uttar Pradesh","1"
"UNICEF India","North Gujarat","1"
"CARE India","South Tamil Nadu","1"
"ActionAid India","West Uttar Pradesh","1"
"CARE India","Deccan Plateau","1"
"Caritas India","Rann of Kutch","1"
"UNICEF India","Deccan Plateau","1"
"Goonj","Doab Region","1"
"Pradan","North West Bengal","1"
"NDRF","Terai Region","1"
"UNICEF India","Nilgiri Hills","1"
"Pradan","South Jharkhand","1"
"UNICEF India","Krishna Delta","1"
"HelpAge India","North Maharashtra","1"
"Doctors Without Borders","Upper Assam","1"
"ActionAid India","Coastal Odisha","1"
"World Vision India","Andaman Coast","1"
"ChildFund India","South Punjab","1"
"NDMA India","North Rajasthan","1"
"NDRF","Himalayan Foothills","1"
"Oxfam India","Chandigarh Plains","1"
"NDRF","Nilgiri Hills","1"
"NDMA India","Nagaland Hills","1"
"Goonj","Meghalaya Plateau","1"
"ChildFund India","North Odisha","1"
"Habitat for Humanity","South West Bengal","1"
"Indian Red Cross","Saurashtra","1"
"UNICEF India","Central Odisha","1"
"World Vision India","North Kerala","1"
"ChildFund India","North Rajasthan","1"
"NDRF","Coromandel Coast","1"
"Oxfam India","South Odisha","1"
"Goonj","Saurashtra","1"
"Indian Red Cross","Bastar Region","1"
"Pradan","Chandigarh Plains","1"
"CARE India","Ladakh Highlands","1"
"NDRF","Chhattisgarh Basin","1"
"ChildFund India","North Himachal","1"
"Doctors Without Borders","Deccan Plateau","1"
"Indian Red Cross","Arunachal Foothills","1"
"Sphere India","Central Andhra","1"
"HelpAge India","South Chhattisgarh","1"
"Pradan","Jharkhand Highlands","1"
"Oxfam India","Sundarbans","1"
"Plan India","North Tamil Nadu","1"
"CARE India","Upper Assam","1"
"NDMA India","Central Gujarat","1"
"CARE India","Goa Coast","1"
"Plan India","Central Uttar Pradesh","1"
"Goonj","Western Ghats","1"
"NDMA India","Meghalaya Plateau","1"
"Doctors Without Borders","East Uttar Pradesh","1"
"Caritas India","Bundelkhand","1"
"CARE India","South West Bengal","1"
"ActionAid India","South Gujarat","1"
"NDMA India","North Chhattisgarh","1"
"Oxfam India","Kachchh Region","1"
"NDRF","Telangana Plains","1"
"CARE India","Delhi NCR","1"
"NDRF","Doab Region","1"
"Pradan","Punjab Plains","1"
"World Vision India","Coastal Odisha","1"
"Save the Children","Thar Desert","1"
"CARE India","Konkan Belt","1"
"Indian Red Cross","North Chhattisgarh","1"
"Sphere India","Marathwada","1"
"Habitat for Humanity","Telangana Plains","1"
"Goonj","North Kerala","1"
"SEEDS India","Rann of Kutch","1"
"Indian Red Cross","Lower Assam","1"
"UNICEF India","South Kerala","1"
"SEEDS India","Puducherry Coast","1"
"CARE India","Gangetic Plains","1"
"Plan India","Godavari Delta","1"
"NDMA India","Himalayan Foothills","1"
"ActionAid India","Kumaon Region","1"
"Indian Red Cross","Central Assam","1"
"Sphere India","South Odisha","1"
"NDRF","North West Bengal","1"
"ActionAid India","South Rajasthan","1"
"Indian Red Cross","Rann of Kutch","1"
"Habitat for Humanity","Chhattisgarh Basin","1"
"Indian Red Cross","Central Karnataka","1"
"Goonj","South Gujarat","1"
"ActionAid India","Konkan Belt","1"
"Doctors Without Borders","South Karnataka","1"
"Sphere India","Central Rajasthan","1"
"NDMA India","Central Andhra","1"
"CARE India","Central Rajasthan","1"
"HelpAge India","South Karnataka","1"
"SEEDS India","Jammu Valley","1"
"Goonj","Vidarbha","1"
"Oxfam India","North Tamil Nadu","1"
"NDRF","Chota Nagpur","1"
"NDMA India","Central Punjab","1"
"CARE India","South Uttar Pradesh","1"
"UNICEF India","Brahmaputra Valley","1"
"Plan India","Central Gujarat","1"
"Goonj","South Punjab","1"
"ChildFund India","Coastal Odisha","1"
"ActionAid India","Ganga Delta","1"
"NDMA India","South Punjab","1"
"Indian Red Cross","South Tamil Nadu","1"
"NDRF","Thar Desert","1"
"Sphere India","North Karnataka","1"
"NDRF","Coastal Karnataka","1"
"World Vision India","Nilgiri Hills","1"
"Oxfam India","Puducherry Coast","1"
"Oxfam India","Bastar Region","1"
"Goonj","North Karnataka","1"
"World Vision India","North Odisha","1"
"Indian Red Cross","North Tamil Nadu","1"
"Sphere India","Mizoram Hills","1"
"ActionAid India","Western Ghats","1"
"Plan India","South Maharashtra","1"
"Rapid Response","West Uttar Pradesh","1"
"Indian Red Cross","South Chhattisgarh","1"
"HelpAge India","North Gujarat","1"
"World Vision India","Ladakh Highlands","1"
"CARE India","Malabar Coast","1"
"UNICEF India","North Andhra","1"
"NDMA India","Kachchh Region","1"
"World Vision India","South Gujarat","1"
"UNICEF India","Upper Assam","1"
"NDRF","Manipur Valley","1"
"Plan India","South Uttar Pradesh","1"
"Plan India","Terai Region","1"
"Indian Red Cross","East Odisha","1"
"ChildFund India","South Rajasthan","1"
"Rapid Response","Central Kerala","1"
"Pradan","Central Tamil Nadu","1"
"SEEDS India","South Maharashtra","1"
"Goonj","Sikkim Hills","1"
"ActionAid India","Doab Region","1"
"SEEDS India","Chota Nagpur","1"
"ActionAid India","Gangetic Plains","1"
"Caritas India","Central Rajasthan","1"
"UNICEF India","Jammu Valley","1"
"Oxfam India","Ganga Delta","1"
"Habitat for Humanity","Tripura Plains","1"
"NDRF","North Uttar Pradesh","1"
"Habitat for Humanity","North Andhra","1"
"ActionAid India","North Uttar Pradesh","1"
"SEEDS India","Jharkhand Highlands","1"
"Habitat for Humanity","South Uttar Pradesh","1"
"NDMA India","South Himachal","1"
"NDRF","Rayalaseema","1"
"Sphere India","Arunachal Foothills","1"
"Goonj","North Rajasthan","1"
"Doctors Without Borders","North Maharashtra","1"
"HelpAge India","Central Tamil Nadu","1"
"Save the Children","Sundarbans","1"
"Save the Children","Jharkhand Highlands","1"
