"state","zones_covered","total_deployments"
"Gujarat","7","23"
"Uttar Pradesh","7","24"
"Karnataka","6","19"
"Andhra Pradesh","6","20"
"Maharashtra","5","19"
"Odisha","5","13"
"Tamil Nadu","5","16"
"Kerala","5","19"
"West Bengal","5","17"
"Assam","5","19"
"Rajasthan","4","13"
"Punjab","4","13"
"Chhattisgarh","4","11"
"Jharkhand","3","10"
"Himachal Pradesh","3","8"
"Uttarakhand","2","7"
"Sikkim","2","4"
"Madhya Pradesh","1","4"
"Arunachal Pradesh","1","2"
"Bihar","1","2"
"Chandigarh","1","2"
"Delhi","1","2"
"Goa","1","2"
"Jammu and Kashmir","1","2"
"Ladakh","1","2"
"Andaman and Nicobar","1","2"
"Manipur","1","2"
"Meghalaya","1","2"
"Mizoram","1","2"
"Nagaland","1","2"
"Puducherry","1","2"
"Telangana","1","3"
"Tripura","1","2"
