"zone_name","casualties","total_aid","casualty_to_aid_ratio"
"Manipur Valley",40,"250","0.16"
"South Odisha",40,"250","0.16"
"North Bengal",70,"550","0.13"
"North West Bengal",65,"500","0.13"
"North Tamil Nadu",40,"300","0.13"
"Central Uttar Pradesh",65,"500","0.13"
"North Bengal",65,"550","0.12"
"South Maharashtra",55,"450","0.12"
"Puducherry Coast",45,"400","0.11"
"Godavari Delta",60,"550","0.11"
"Godavari Delta",55,"550","0.10"
"Andaman Coast",35,"450","0.08"
"Tripura Plains",30,"400","0.08"
"Coromandel Coast",60,"800","0.08"
"Central Odisha",30,"400","0.08"
"Goa Coast",50,"700","0.07"
"Coromandel Coast",50,"800","0.06"
"North Chhattisgarh",55,"850","0.06"
"South Gujarat",60,"1200","0.05"
"Arunachal Foothills",60,"1200","0.05"
"Haryana Plains",8,"150","0.05"
"Coastal Odisha",45,"900","0.05"
"North Tamil Nadu",35,"750","0.05"
"Chhattisgarh Basin",55,"1500","0.04"
"Chhattisgarh Basin",60,"1500","0.04"
"Coastal Odisha",40,"900","0.04"
"North Odisha",35,"850","0.04"
"North Andhra",30,"950","0.03"
"North Himachal",15,"450","0.03"
"South West Bengal",35,"1400","0.03"
"Haryana Plains",5,"150","0.03"
"Nagaland Hills",5,"200","0.03"
"Central Gujarat",20,"650","0.03"
"Central Assam",45,"2200","0.02"
"Rann of Kutch",25,"1250","0.02"
"Central Andhra",45,"2500","0.02"
"North Haryana",8,"500","0.02"
"West Uttar Pradesh",50,"2700","0.02"
"Rann of Kutch",30,"1250","0.02"
"Konkan Belt",30,"1850","0.02"
"Jharkhand Highlands",15,"900","0.02"
"Kumaon Region",20,"2500","0.01"
"West Madhya Pradesh",8,"1300","0.01"
"South Kerala",50,"7700","0.01"
"Upper Assam",65,"9500","0.01"
"Upper Assam",70,"9500","0.01"
"Mizoram Hills",15,"3000","0.01"
"Gangetic Plains",100,"14700","0.01"
"West Madhya Pradesh",10,"1300","0.01"
"Jharkhand Highlands",10,"900","0.01"
"Bihar Plains",70,"6000","0.01"
"Gangetic Plains",90,"14700","0.01"
"South Sikkim",5,"500","0.01"
"Deccan Plateau",10,"900","0.01"
"South Uttar Pradesh",8,"1300","0.01"
"Gangetic Plains",80,"14700","0.01"
"North Haryana",5,"500","0.01"
"Bastar Region",5,"700","0.01"
"Konkan Belt",25,"1850","0.01"
"East Uttar Pradesh",60,"8500","0.01"
"Chandigarh Plains",40,"6500","0.01"
"South Bihar",45,"4500","0.01"
"Kachchh Region",20,"3800","0.01"
"South Kerala",40,"2700","0.01"
"Kumaon Region",15,"2500","0.01"
"Lower Assam",45,"4250","0.01"
"North Uttar Pradesh",70,"9000","0.01"
"Deccan Plateau",5,"900","0.01"
"North Telangana",20,"3500","0.01"
"Punjab Plains",60,"12000","0.01"
"South Jharkhand",5,"950","0.01"
"Telangana Plains",8,"1800","0.00"
"Sundarbans",50,"11800","0.00"
"North Kerala",50,"18000","0.00"
"Malwa Plateau",5,"6200","0.00"
"Nilgiri Hills",30,"13500","0.00"
"Central Kerala",55,"32000","0.00"
"Central Karnataka",5,"2500","0.00"
"North Gujarat",5,"6000","0.00"
"South Himachal",15,"7500","0.00"
"Central Tamil Nadu",40,"12500","0.00"
"North Karnataka",5,"6500","0.00"
"Malabar Coast",70,"39700","0.00"
"Central Rajasthan",5,"11000","0.00"
"Doab Region",70,"27000","0.00"
"Sikkim Hills",8,"10000","0.00"
"Bundelkhand",5,"37000","0.00"
"Brahmaputra Valley",70,"58000","0.00"
"South Karnataka",15,"22000","0.00"
"South Punjab",60,"31000","0.00"
"North Telangana",10,"3500","0.00"
"Himalayan Foothills",15,"14000","0.00"
"Ganga Delta",45,"19000","0.00"
"Terai Region",70,"19000","0.00"
"Western Ghats",15,"6800","0.00"
"Nilgiri Hills",25,"13500","0.00"
"Doab Region",60,"27000","0.00"
"South Gujarat",30,"30000","0.00"
"South Assam",70,"18500","0.00"
"Delhi NCR",20,"11000","0.00"
"Terai Region",55,"19000","0.00"
"Vidarbha",10,"33500","0.00"
"Malabar Coast",60,"39700","0.00"
"East Odisha",35,"19000","0.00"
"South Chhattisgarh",55,"13000","0.00"
"Saurashtra",40,"27200","0.00"
"Meghalaya Plateau",55,"16000","0.00"
"Jammu Valley",25,"5500","0.00"
"Marathwada",20,"29000","0.00"
"Ladakh Highlands",15,"17000","0.00"
"Vidarbha",5,"33500","0.00"
"Kachchh Region",15,"3800","0.00"
"Ganga Delta",50,"19000","0.00"
"South Bihar",10,"4500","0.00"
"Rayalaseema",10,"6000","0.00"
"Sundarbans",45,"11800","0.00"
"North Rajasthan",8,"26000","0.00"
"Central Punjab",5,"12000","0.00"
"Brahmaputra Valley",90,"58000","0.00"
"Thar Desert",3,"7800","0.00"
"Punjab Plains",55,"12000","0.00"
"Chota Nagpur",5,"13350","0.00"
"South Rajasthan",5,"72000","0.00"
"Sundarbans",40,"11800","0.00"
"East Rajasthan",5,"20000","0.00"
"Krishna Delta",60,"24000","0.00"
"Coastal Karnataka",35,"30250","0.00"
"North Maharashtra",5,"6500","0.00"
"Thar Desert",5,"7800","0.00"
"Krishna Delta",55,"24000","0.00"
"Marathwada",35,"29000","0.00"
"North Gujarat",8,"6000","0.00"
"Coastal Karnataka",45,"30250","0.00"
"Brahmaputra Valley",80,"58000","0.00"
"South Tamil Nadu",35,"26000","0.00"
"Western Ghats",10,"6800","0.00"
"Malabar Coast",50,"39700","0.00"
"Rayalaseema",8,"6000","0.00"
"Lower Assam",20,"4250","0.00"
"Saurashtra",50,"27200","0.00"
"Chota Nagpur",3,"13350","0.00"
